,Comp,A1,A2,yA2,TotEng,DHmix,DHmix_in_meV
1609,Ma2Ea6-Pb8I24,Ma,Ea,0.7522787939243251,-63.412333105,0.6393203137931209,639.3203137931209
1610,Ma2Ea6-Pb8I24,Ma,Ea,0.7522787939243251,-63.45912914625,0.5925242725431232,592.5242725431233
1611,Ma2Ea6-Pb8I24,Ma,Ea,0.7522787939243251,-63.4035414775,0.6481119412931236,648.1119412931236
1612,Ma6Ea2-Pb8I24,Ma,Ea,0.2061750732068326,-55.1341623375,0.9543535194999624,954.3535194999624
1613,Ma1Ea7-Pb8I24,Ma,Ea,0.8778743477336469,-65.52414952125,0.3589044798706098,358.9044798706098
1614,Ma1Ea7-Pb8I24,Ma,Ea,0.8778743477336469,-65.489590475,0.3934635261206054,393.4635261206054
1615,Ma1Ea7-Pb8I24,Ma,Ea,0.8778743477336469,-65.4641628525,0.4188911486206095,418.8911486206095
1616,Ma1Ea7-Pb8I24,Ma,Ea,0.8778743477336469,-65.47067944625,0.4123745548706026,412.3745548706026
1617,Ma8Ea0-Pb8I24,Ma,Ea,0.018575640057447163,-51.00198930375,2.351002080499152,2351.0020804991523
1618,Ma5Ea3-Pb8I24,Ma,Ea,0.36828647248853286,-57.203756675,1.2486240007909757,1248.6240007909757
1619,Ma5Ea3-Pb8I24,Ma,Ea,0.36828647248853286,-57.21076305,1.2416176257909797,1241.6176257909797
1620,Ma0Ea8-Pb8I24,Ma,Ea,0.9528241322335527,-67.61069241375,-0.6347408154195477,-634.7408154195477
1621,Ma5Ea3-Pb8I24,Ma,Ea,0.36828647248853286,-57.239464845,1.2129158307909762,1212.915830790976
1622,Ma0Ea8-Pb8I24,Ma,Ea,0.9950291819043405,-67.56792889375,0.023445386354595144,23.445386354595144
1623,Ma1Ea7-Pb8I24,Ma,Ea,0.8299934174889415,-65.5015110225,-0.3166438669556584,-316.6438669556584
1624,Ma0Ea8-Pb8I24,Ma,Ea,0.9950291819043405,-67.48682990625,0.10454437385459414,104.54437385459414
1625,Ma3Ea5-Pb8I24,Ma,Ea,0.6357739978468055,-61.36729275625,0.9855190641833076,985.5190641833076
1626,Ma1Ea7-Pb8I24,Ma,Ea,0.8299934174889415,-65.4789650125,-0.29409785695565915,-294.09785695565915
1627,Ma6Ea2-Pb8I24,Ma,Ea,0.3072142647202083,-55.12417566875,2.4376665008710816,2437.6665008710816
1628,Ma6Ea2-Pb8I24,Ma,Ea,0.3072142647202083,-55.13778763625,2.424054533371077,2424.054533371077
1629,Ma6Ea2-Pb8I24,Ma,Ea,0.3072142647202083,-55.132352375,2.4294897946210767,2429.4897946210767
1630,Ma5Ea3-Pb8I24,Ma,Ea,0.3356048899297742,-57.18379232625,0.7920343035246482,792.0343035246482
1631,Ma5Ea3-Pb8I24,Ma,Ea,0.3356048899297742,-57.21455603625,0.761270593524646,761.270593524646
1632,Ma0Ea8-Pb8I24,Ma,Ea,0.9770283609320239,-67.5956901925,-0.26679904186289605,-266.79904186289605
1633,Ma0Ea8-Pb8I24,Ma,Ea,0.9770283609320239,-67.56295942125,-0.23406827061289448,-234.06827061289448
1634,Ma0Ea8-Pb8I24,Ma,Ea,0.9770283609320239,-67.55542910375,-0.2265379531128957,-226.5379531128957
1635,Ma0Ea8-Pb8I24,Ma,Ea,0.9770283609320239,-67.5803126425,-0.2514214918628994,-251.42149186289942
1636,Ma0Ea8-Pb8I24,Ma,Ea,0.9770283609320239,-67.5572177675,-0.22832661686290123,-228.32661686290123
1637,Ma5Ea3-Pb8I24,Ma,Ea,0.41178745276782336,-57.17028490375,1.9164153653624147,1916.4153653624148
1638,Ma4Ea4-Pb8I24,Ma,Ea,0.4871738842172999,-59.26622408125,0.9197408534394143,919.7408534394142
1639,Ma4Ea4-Pb8I24,Ma,Ea,0.4871738842172999,-59.262001005,0.923963929689414,923.963929689414
1640,Ma4Ea4-Pb8I24,Ma,Ea,0.4871738842172999,-59.30691375,0.8790511846894162,879.0511846894162
