,Comp,SuperCell,A1,A2,numA1,numA2,numAllCat,yA2,TotEng,Converged,lambda,sigma,tilt
156,Ma5Ea3-Pb8I24,2x2x2,Ma,Ea,5,3,8,0.3425914130564254,-57.2359669,True,1.0011845133269732,3.889377084852671,3.0185456743143334e-07
157,Ma7Ea1-Pb8I24,2x2x2,Ma,Ea,7,1,8,0.13387789135381278,-53.06530564375,True,1.000030399682262,,4.25824421411764
158,Ma7Ea1-Pb8I24,2x2x2,Ma,Ea,7,1,8,0.13387789135381278,-53.047007265,True,1.0000021516968918,,1.8718038961737242
159,Ma5Ea3-Pb8I24,2x2x2,Ma,Ea,5,3,8,0.43040299683532035,-57.21833053,True,1.0000325351479065,,1.8618227629421913
160,Ma5Ea3-Pb8I24,2x2x2,Ma,Ea,5,3,8,0.43040299683532035,-57.19910982,True,1.0000204503239654,0.04272464294960142,0.0
161,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.958366088796733,-67.5931794175,True,1.0005581826992558,1.8725055910929083,2.84591215417198e-07
162,Ma5Ea3-Pb8I24,2x2x2,Ma,Ea,5,3,8,0.3470557300667342,-57.19554664625,True,1.0000295584035772,,2.634959482807551
163,Ma3Ea5-Pb8I24,2x2x2,Ma,Ea,3,5,8,0.6201316467302693,-61.3751374575,True,1.0005244074848574,1.7972290172735401,0.0
164,Ma3Ea5-Pb8I24,2x2x2,Ma,Ea,3,5,8,0.6201316467302693,-61.34446769875,True,1.0001808471200058,,2.117423742059196
165,Ma2Ea6-Pb8I24,2x2x2,Ma,Ea,2,6,8,0.6947489300796902,-63.46745133125,True,1.0004765957032187,1.6924085206233848,2.84591215417198e-07
166,Ma0Ea8-Pb8I24,2x2x2,Ma,Ea,0,8,8,0.9421833562758307,-67.58156174625,True,1.000233769577377,,1.8440327306722821
167,Ma8Ea0-Pb8I24,2x2x2,Ma,Ea,8,0,8,0.0017231976933884674,-51.0018762275,True,1.0000010281883622,,5.298458021646922
